SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
IDGYO;3,5;10;9,72;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.19, sat??=0.82 | Al??lar: KAMU 2g: +0.07, KAMU 3g: +0.06, TERA 3g: +0.05 | Sat??lar: KAMU 1g: -0.73, TERA 2g: -0.09;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DAGHL;159;10;4,33;6;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.48, sat??=0.37 | Al??lar: TERA 1g: +0.04, TERA 2g: +0.22, TERA 3g: +0.22 | Sat??lar: KAMU 1g: -0.03, KAMU 2g: -0.17, KAMU 3g: -0.17;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TEKTU;11,5;10;1,68;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.74, sat??=1.14 | Al??lar: KAMU 1g: +0.22, KAMU 2g: +0.78, KAMU 3g: +0.73, TERA 1g: +0.01 | Sat??lar: BOFA 3g: -0.08, TERA 2g: -0.51, TERA 3g: -0.55;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DERHL;28,02;9,99;5,26;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=3.92, sat??=0.78 | Al??lar: BOFA 1g: +1.51, BOFA 2g: +0.92, BOFA 3g: +0.98, KAMU 2g: +0.28, KAMU 3g: +0.23 | Sat??lar: KAMU 1g: -0.66, TERA 1g: -0.00, TERA 2g: -0.06, TERA 3g: -0.06;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
SDTTR;171,7;9,96;0,59;3;3;Güçlü kurum al?? var (+1 puan): Toplam al??=0.92, sat??=0.20 | Al??lar: KAMU 1g: +0.12, KAMU 2g: +0.35, KAMU 3g: +0.34, TERA 1g: +0.00, TERA 2g: +0.06, TERA 3g: +0.06 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.09, BOFA 3g: -0.09;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif";16.07.2025 21:27
PEKGY;2,01;9,95;9,84;6;7;Kurum hareketi nötr. Toplam al??=3.36, sat??=3.21 | Al??lar: TERA 1g: +0.13, TERA 2g: +1.99, TERA 3g: +1.24 | Sat??lar: KAMU 1g: -0.54, KAMU 2g: -1.27, KAMU 3g: -1.40;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MTRYO;6,54;9,94;-0,3;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.41, sat??=0.00 | Al??lar: KAMU 1g: +0.05, KAMU 2g: +0.06, KAMU 3g: +0.05, TERA 2g: +0.13, TERA 3g: +0.12 | Sat??lar: ;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
RYSAS;16,29;9,94;-2,04;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.30, sat??=0.03 | Al??lar: KAMU 1g: +0.06, KAMU 2g: +0.10, KAMU 3g: +0.11, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.02, BOFA 2g: -0.00, BOFA 3g: -0.01, TERA 1g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
IZINV;46,94;9,93;9,98;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.65, sat??=0.22 | Al??lar: BOFA 1g: +0.87, BOFA 2g: +0.87, BOFA 3g: +0.89, TERA 1g: +0.00, TERA 2g: +0.01, TERA 3g: +0.00 | Sat??lar: KAMU 1g: -0.11, KAMU 2g: -0.05, KAMU 3g: -0.05;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DZGYO;7,19;9,87;9,94;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.89, sat??=2.38 | Al??lar: BOFA 1g: +0.18, BOFA 2g: +0.32, BOFA 3g: +0.34, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: KAMU 1g: -0.56, KAMU 2g: -0.94, KAMU 3g: -0.89;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
